Num	GENRE              AGE	TAILLE	POIDS
390	F                   68	114,0  	20,0  
391	F                   70	120,0  	18,0  
392	F                   72	114,0  	23,0  
393	F                   69	118,0  	24,0  
394	F                   69	114,0  	19,0  
395	F                   69	117,5  	22,0  
396	M                   63	117,0  	22,0  
397	M                   70	117,0  	22,0  
398	M                   70	118,0  	20,0  
399	M                   63	109,0  	18,0  
400	M                   67	109,0  	18,0  
401	M                   69	116,0  	20,0  
402	M                   68	116,0  	21,0  
403	M                   63	106,0  	21,0  
404	M                   64	112,0  	19,0  
405	M                   68	125,0  	24,0  
406	M                   70	119,0  	20,0  
407	M                   71	116,0  	20,0  
408	M                   62	113,0  	20,0  
409	F                   73	123,0  	28,0  
410	F                   71	117,0  	20,0  
411	F                   67	110,0  	16,0  
412	F                   71	113,0  	20,0  
413	F                   66	112,0  	20,0  
414	F                   71	117,0  	21,0  
415	F                   63	112,0  	22,0  
416	F                   74	122,0  	25,0  
417	F                   69	109,0  	19,0  
418	F                   69	114,0  	22,0  
419	F                   74	112,0  	18,0  
420	F                   77	112,5  	20,0  
421	F                   76	120,0  	24,5  
422	F                   76	115,5  	20,0  
423	F                   77	113,0  	20,0  
424	F                   77	116,0  	20,0  
425	F                   77	113,0  	19,0  
426	F                   68	117,0  	17,0  
427	F                   77	123,0  	24,0  
428	F                   73	108,0  	17,0  
429	M                   65	107,0  	17,0  
430	F                   65	107,0  	16,5  
431	F                   74	113,0  	20,0  
432	F                   68	123,0  	21,5  
433	F                   70	117,0  	20,5  
434	M                   64	110,0  	19,0  
435	M                   67	113,0  	18,0  
436	M                   71	114,0  	20,0  
437	F                   65	112,0  	20,0  
438	F                   65	111,0  	18,0  
439	M                   73	116,0  	22,5  
440	M                   67	112,0  	18,0  
441	M                   73	120,0  	20,0  
442	F                   73	123,0  	22,0  
443	F                   74	122,5  	19,0  
444	F                   69	110,5  	21,0  
445	F                   70	115,5  	20,5  
446	F                   64	104,0  	16,0  
447	M                   71	113,0  	19,0  
448	M                   65	115,5  	21,0  
449	F                   63	106,0  	19,0  
450	M                   74	120,0  	21,0  
451	M                   72	123,0  	26,0  
452	F                   69	116,0  	21,0  
453	F                   70	121,0  	21,0  
454	M                   72	121,0  	23,0  
455	F                   63	108,0  	18,5  
456	F                   73	101,5  	17,0  
457	M                   67	114,0  	19,5  
458	M                   67	103,0  	17,0  
459	M                   68	113,0  	23,5  
460	F                   63	105,0  	18,0  
461	F                   72	114,0  	22,0  
462	F                   67	106,0  	19,0  
463	F                   66	106,5  	17,0  
464	M                   73	115,0  	19,0  
465	M                   73	111,0  	19,5  
466	M                   73	116,5  	19,5  
467	M                   70	108,0  	18,0  
468	F                   70	116,5  	20,0  
469	M                   70	113,0  	21,5  
470	M                   70	123,5  	24,0  
471	F                   67	119,5  	25,0  
472	M                   66	115,5  	22,0  
473	F                   74	117,5  	24,5  
474	F                   63	112,5  	17,5  
475	M                   63	119,0  	27,5  
476	F                   70	116,0  	21,0  
477	M                   68	109,5  	19,5  
478	F                   67	114,0  	22,0  
479	M                   71	112,0  	19,0  
480	M                   63	110,5  	20,0  
481	M                   66	111,0  	19,5  
482	F                   63	108,0  	18,0  
483	M                   65	106,5  	18,5  
484	F                   72	117,0  	22,5  
485	M                   72	122,5  	23,0  
486	M                   67	120,0  	27,0  
487	F                   62	108,0  	19,0  
488	M                   70	121,0  	20,0  
489	M                   75	119,0  	23,0  
490	F                   71	116,0  	19,0  
491	M                   65	114,0  	20,0  
492	F                   71	112,5  	20,5  
493	M                   70	108,5  	16,0  
494	F                   65	113,0  	18,5  
495	M                   71	112,0  	18,0  
496	F                   65	113,0  	19,0  
497	F                   72	113,0  	22,0  
498	F                   65	109,0  	22,0  
499	M                   74	115,5  	20,0  
500	F                   64	116,0  	21,5  
